"Cat1","Cat2","Code","Art","Name","Price","Weight","WeightType","Description","photo"
"Китайский чай","Красный чай","krasnyi-chai","к70","Цзинь Цзюнь Мэй Премиум","1188 ₽","50"," г.","","к70.jpg"
"ПОДАРКИ","Подарок «Зимняя рапсодия»","products","чп43","Подарок «Зимняя рапсодия»","1500 ₽","150"," г.","Состав подарка «Осенняя рапсодия»:","чп43.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з66"," Бон Тю Люй Ча Весна 2022","435 ₽","50"," г."," нежный, сладкий, тонкий","з66.jpg"
"Китайский чай","Пуэр","puer","п357","Менхай Да Шу Ча","810 ₽","50"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ","п357.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф37","Кролик, изменяющий цвет","748 ₽","","","Веселый заяц, изменяющий цвет.","ф37.jpg"
"Китайский чай","У И Хуан Мей Гуй Цин Сян","products","у131","У И Хуан Мей Гуй Цин Сян","528 ₽","50"," г.","У И Хуан Мей Гуй Цин Сян (Желтая роза с гор У И, свежий аромат) – это улун слабой степени прожарки категории «чжэнь янь дэ ча» (оригинальный утесный чай), собранный в районе Уишань, что на юго-востоке Китая. Уишань считается родиной улунов, их собирают здесь с XVII века.","у131.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч258-2","Чахай с оранжевой ручкой и ситом","1300 ₽","","","","ч258-2.jpg"
"Китайский чай","Пуэр","puer","п390","Бань Чжан Ван, 2013 год","2475 ₽","357"," г."," – это шу пуэр, средней прессовки.","п390.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к75","Хей Цзин Премиум 2022","628 ₽","50"," г.","","к75.jpg"
"ПОСУДА","Чашечки","chashechki","ч92","Чашка «Птенцы»","349 ₽","","","","ч92.jpg"
"Китайский чай","Улуны","uluny","у245","Цзинь Гуаньинь","133 ₽","7"," г."," ","у245.jpg"
"Китайский чай","Пуэр","puer","п417","Лао Бань Чжан Шу","805 ₽","50"," г.","рассыпной пуэр из сырья высокого качества.  Собран в Лао Бань Чжан.","п417.jpg"
